                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2063,                0.92898,                 1.0278,                0.86191,                0.87407,                0.93433,                0.66338,                 1.0536,                0.69686,                0.99099,               0.067493,             0.00032836,             0.00032836
                      2,                 1.1348,                0.74803,                 1.0051,                0.78771,                 0.8143,                0.85161,                0.58518,                 1.0868,                0.86913,                 1.0098,               0.034484,             0.00065296,             0.00065296
                      3,                 1.1053,                0.68699,                  1.006,                0.84288,                0.89648,                0.92475,                0.65208,                 1.0928,                0.71263,                 1.0193,              0.0014663,             0.00096876,             0.00096876
                      4,                 1.0677,                0.66503,                0.99323,                 0.8951,                0.89243,                0.96016,                0.68089,                 1.0612,                0.67097,                 1.0214,              0.0009604,              0.0009604,              0.0009604
                      5,                 1.0665,                0.65115,                0.99758,                0.88377,                0.89328,                0.95221,                0.67259,                 1.0507,                0.65668,                 1.0101,              0.0009472,              0.0009472,              0.0009472
                      6,                 1.0497,                0.60623,                0.97996,                0.88939,                0.90102,                0.95689,                0.69243,                 1.0289,                0.64646,                 1.0037,               0.000934,               0.000934,               0.000934
                      7,                 1.0357,                0.59681,                0.98171,                0.88775,                0.89114,                0.94634,                0.69297,                 1.0243,                 0.6146,                0.98995,              0.0009208,              0.0009208,              0.0009208
                      8,                 1.0582,                0.60445,                0.99166,                0.89536,                0.90406,                0.96012,                0.69853,                 1.0238,                0.58977,                0.99295,              0.0009076,              0.0009076,              0.0009076
                      9,                 1.0231,                0.58087,                 0.9709,                0.90227,                0.91636,                0.95688,                 0.7008,                 1.0117,                0.58052,                0.98922,              0.0008944,              0.0008944,              0.0008944
                     10,                 1.0123,                 0.5758,                 0.9678,                0.88834,                0.89861,                0.95999,                0.71332,                 1.0052,                0.56897,                0.98455,              0.0008812,              0.0008812,              0.0008812
                     11,                0.99365,                 0.5781,                0.96224,                0.92686,                0.89262,                0.96569,                0.70786,                 1.0206,                0.58117,                0.99219,               0.000868,               0.000868,               0.000868
                     12,                0.99426,                0.56054,                0.96092,                0.90101,                0.91889,                0.96616,                0.72022,                0.99894,                0.53521,                0.98453,              0.0008548,              0.0008548,              0.0008548
                     13,                0.97766,                0.54966,                0.96738,                0.91433,                0.92258,                 0.9701,                0.72472,                0.98011,                0.53863,                 0.9744,              0.0008416,              0.0008416,              0.0008416
                     14,                0.99208,                0.54172,                0.96254,                0.91758,                0.92209,                0.96442,                0.71426,                 1.0099,                0.53131,                0.98337,              0.0008284,              0.0008284,              0.0008284
                     15,                0.98144,                0.54628,                0.95781,                0.89817,                0.91355,                0.97006,                 0.7279,                 0.9785,                0.53669,                 0.9787,              0.0008152,              0.0008152,              0.0008152
                     16,                0.97359,                0.56296,                0.95334,                0.91829,                0.90075,                0.96165,                0.71749,                0.99724,                0.55131,                 0.9826,               0.000802,               0.000802,               0.000802
                     17,                0.97592,                0.54695,                 0.9486,                 0.9107,                 0.9034,                0.96717,                0.71967,                 1.0067,                0.53352,                0.98259,              0.0007888,              0.0007888,              0.0007888
                     18,                0.96016,                0.52906,                0.94721,                0.91321,                0.91142,                0.97187,                0.72655,                 1.0025,                0.52893,                0.98535,              0.0007756,              0.0007756,              0.0007756
                     19,                0.97667,                0.52943,                0.95211,                0.87654,                0.93203,                0.96422,                0.70708,                0.98888,                0.56368,                0.97842,              0.0007624,              0.0007624,              0.0007624
                     20,                0.96094,                  0.528,                0.94697,                0.91426,                0.93312,                0.97443,                0.72634,                0.99345,                0.51981,                0.97978,              0.0007492,              0.0007492,              0.0007492
                     21,                0.95994,                0.53275,                0.95477,                0.93558,                  0.899,                0.97436,                0.71851,                  1.018,                0.51577,                0.98492,               0.000736,               0.000736,               0.000736
                     22,                0.95197,                0.51089,                0.94815,                0.89123,                0.93571,                0.96947,                0.73073,                0.97351,                 0.4994,                0.96973,              0.0007228,              0.0007228,              0.0007228
                     23,                0.93929,                0.52593,                0.94582,                 0.9225,                0.90198,                0.95969,                0.72064,                0.98268,                0.51669,                0.97264,              0.0007096,              0.0007096,              0.0007096
                     24,                0.93164,                0.51017,                0.93723,                0.91564,                0.92316,                  0.969,                0.72367,                0.98517,                0.51464,                0.97414,              0.0006964,              0.0006964,              0.0006964
